-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  33.1505   Longitude -86.2289 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 211.63 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1987,             19.33,             24.26,             30.57,             36.33,             40.05,             41.46,             40.63,             37.59,             32.58,             26.35,             20.66,             17.83,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1988,             19.30,             24.31,             30.74,             36.45,             40.11,             41.47,             40.58,             37.48,             32.44,             26.19,             20.54,             17.81,             30.63
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1989,             19.39,             24.36,             30.68,             36.41,             40.09,             41.46,             40.60,             37.52,             32.48,             26.24,             20.58,             17.81,             30.66
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1990,             19.36,             24.31,             30.63,             36.38,             40.07,             41.46,             40.61,             37.55,             32.53,             26.29,             20.62,             17.82,             30.66
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1991,             19.34,             24.27,             30.58,             36.34,             40.05,             41.46,             40.63,             37.58,             32.57,             26.34,             20.65,             17.83,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1992,             19.31,             24.32,             30.74,             36.46,             40.11,             41.47,             40.58,             37.48,             32.43,             26.18,             20.54,             17.80,             30.63
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1993,             19.40,             24.37,             30.69,             36.42,             40.09,             41.46,             40.60,             37.51,             32.48,             26.23,             20.58,             17.81,             30.66
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1994,             19.37,             24.33,             30.64,             36.38,             40.07,             41.46,             40.61,             37.55,             32.52,             26.29,             20.61,             17.82,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1995,             19.34,             24.27,             30.59,             36.34,             40.06,             41.46,             40.62,             37.58,             32.57,             26.33,             20.65,             17.83,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1996,             19.31,             24.33,             30.75,             36.46,             40.12,             41.47,             40.58,             37.47,             32.42,             26.18,             20.53,             17.81,             30.63
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1997,             19.40,             24.38,             30.70,             36.43,             40.10,             41.46,             40.60,             37.51,             32.47,             26.23,             20.57,             17.81,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1998,             19.37,             24.33,             30.65,             36.39,             40.08,             41.46,             40.61,             37.54,             32.52,             26.28,             20.61,             17.82,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,1999,             19.34,             24.28,             30.60,             36.35,             40.06,             41.46,             40.62,             37.57,             32.56,             26.33,             20.65,             17.83,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,2000,             19.31,             24.33,             30.76,             36.47,             40.12,             41.47,             40.58,             37.47,             32.41,             26.17,             20.53,             17.81,             30.63
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,2001,             19.41,             24.39,             30.71,             36.44,             40.10,             41.46,             40.59,             37.51,             32.46,             26.22,             20.57,             17.81,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,2002,             19.37,             24.33,             30.66,             36.40,             40.08,             41.46,             40.61,             37.53,             32.50,             26.27,             20.60,             17.81,             30.67
33.15051,-86.22889,ALLSKY_TOA_SW_DWN,2003,             19.35,             24.29,             30.60,             36.36,             40.06,             41.46,             40.62,             37.56,             32.55,             26.32,             20.64,             17.82,             30.67
