-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  41.9408   Longitude -93.291 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 286.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1987,             14.45,             19.81,             27.17,             34.44,             39.61,             41.77,             40.61,             36.32,             29.78,             22.30,             15.92,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1988,             14.42,             19.87,             27.36,             34.60,             39.71,             41.79,             40.54,             36.18,             29.60,             22.11,             15.79,             12.86,             27.92
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1989,             14.52,             19.93,             27.30,             34.55,             39.68,             41.79,             40.56,             36.22,             29.66,             22.17,             15.83,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1990,             14.48,             19.88,             27.23,             34.50,             39.65,             41.78,             40.59,             36.26,             29.72,             22.23,             15.87,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1991,             14.45,             19.82,             27.17,             34.45,             39.62,             41.78,             40.61,             36.30,             29.77,             22.29,             15.91,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1992,             14.43,             19.89,             27.37,             34.61,             39.71,             41.79,             40.53,             36.17,             29.59,             22.10,             15.78,             12.86,             27.92
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1993,             14.52,             19.94,             27.30,             34.56,             39.68,             41.79,             40.56,             36.21,             29.65,             22.16,             15.83,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1994,             14.49,             19.88,             27.24,             34.51,             39.65,             41.78,             40.58,             36.26,             29.70,             22.22,             15.87,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1995,             14.46,             19.82,             27.18,             34.46,             39.62,             41.78,             40.60,             36.30,             29.76,             22.27,             15.91,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1996,             14.43,             19.89,             27.38,             34.62,             39.71,             41.79,             40.53,             36.16,             29.58,             22.10,             15.78,             12.86,             27.92
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1997,             14.52,             19.94,             27.31,             34.56,             39.69,             41.79,             40.56,             36.20,             29.64,             22.16,             15.82,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1998,             14.49,             19.89,             27.25,             34.51,             39.66,             41.78,             40.58,             36.25,             29.70,             22.21,             15.87,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,1999,             14.46,             19.84,             27.19,             34.47,             39.63,             41.78,             40.60,             36.29,             29.76,             22.27,             15.90,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2000,             14.43,             19.90,             27.38,             34.62,             39.72,             41.79,             40.53,             36.15,             29.57,             22.09,             15.78,             12.86,             27.92
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2001,             14.53,             19.95,             27.32,             34.58,             39.69,             41.79,             40.55,             36.20,             29.63,             22.15,             15.82,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2002,             14.49,             19.90,             27.26,             34.52,             39.66,             41.79,             40.57,             36.24,             29.69,             22.20,             15.86,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2003,             14.47,             19.84,             27.20,             34.47,             39.63,             41.78,             40.60,             36.29,             29.75,             22.26,             15.90,             12.88,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2004,             14.43,             19.90,             27.39,             34.63,             39.72,             41.79,             40.52,             36.15,             29.56,             22.08,             15.78,             12.86,             27.92
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2005,             14.53,             19.97,             27.33,             34.58,             39.69,             41.79,             40.55,             36.19,             29.62,             22.14,             15.81,             12.87,             27.96
41.94081,-93.29099,ALLSKY_TOA_SW_DWN,2006,             14.50,             19.91,             27.27,             34.53,             39.66,             41.79,             40.57,             36.23,             29.68,             22.20,             15.85,             12.87,             27.96
