-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  35.7425   Longitude -86.6171 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 237.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1987,             18.12,             23.18,             29.77,             35.92,             39.99,             41.59,             40.68,             37.33,             31.94,             25.38,             19.50,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1988,             18.09,             23.24,             29.95,             36.05,             40.07,             41.60,             40.63,             37.22,             31.78,             25.21,             19.37,             16.58,             29.99
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1989,             18.19,             23.29,             29.89,             36.01,             40.04,             41.60,             40.64,             37.25,             31.84,             25.27,             19.41,             16.58,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1990,             18.15,             23.24,             29.84,             35.97,             40.02,             41.59,             40.66,             37.29,             31.88,             25.31,             19.45,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1991,             18.13,             23.19,             29.78,             35.93,             40.00,             41.59,             40.68,             37.32,             31.93,             25.37,             19.49,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1992,             18.10,             23.24,             29.95,             36.06,             40.07,             41.60,             40.62,             37.21,             31.78,             25.20,             19.37,             16.57,             29.99
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1993,             18.20,             23.30,             29.90,             36.02,             40.05,             41.60,             40.64,             37.25,             31.83,             25.26,             19.41,             16.58,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1994,             18.16,             23.24,             29.84,             35.97,             40.03,             41.59,             40.66,             37.28,             31.88,             25.31,             19.44,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1995,             18.13,             23.20,             29.79,             35.93,             40.01,             41.59,             40.68,             37.32,             31.92,             25.37,             19.48,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1996,             18.10,             23.25,             29.96,             36.06,             40.07,             41.60,             40.62,             37.20,             31.77,             25.20,             19.36,             16.57,             29.99
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1997,             18.20,             23.30,             29.91,             36.02,             40.05,             41.60,             40.64,             37.24,             31.82,             25.25,             19.40,             16.58,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1998,             18.16,             23.25,             29.85,             35.98,             40.03,             41.59,             40.66,             37.28,             31.87,             25.30,             19.44,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,1999,             18.14,             23.20,             29.80,             35.94,             40.01,             41.59,             40.67,             37.31,             31.92,             25.35,             19.48,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2000,             18.11,             23.26,             29.96,             36.07,             40.08,             41.60,             40.62,             37.20,             31.76,             25.19,             19.36,             16.57,             29.99
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2001,             18.20,             23.31,             29.91,             36.03,             40.06,             41.60,             40.64,             37.24,             31.81,             25.24,             19.40,             16.58,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2002,             18.17,             23.26,             29.86,             35.99,             40.03,             41.59,             40.65,             37.27,             31.86,             25.30,             19.44,             16.58,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2003,             18.14,             23.21,             29.81,             35.95,             40.01,             41.59,             40.67,             37.31,             31.91,             25.34,             19.47,             16.59,             30.03
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2004,             18.11,             23.27,             29.98,             36.08,             40.08,             41.60,             40.62,             37.19,             31.75,             25.19,             19.36,             16.57,             30.00
35.74251,-86.61709,ALLSKY_TOA_SW_DWN,2005,             18.20,             23.32,             29.92,             36.04,             40.06,             41.60,             40.63,             37.23,             31.81,             25.23,             19.39,             16.58,             30.03
