-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1987 through 12/31/2019 
Location: Latitude  43.0139   Longitude -107.2615 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1865.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Before January 2018 the precipitation is reported as an accumulation, after it is in average rate. 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
ALLSKY_TOA_SW_DWN SRB/FLASHFlux 1/2x1/2 Top-of-atmosphere Insolation (MJ/m^2/day) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1987,             13.22,             18.65,             26.23,             33.87,             39.41,             41.78,             40.52,             35.90,             28.99,             21.22,             14.71,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1988,             13.18,             18.71,             26.43,             34.04,             39.51,             41.79,             40.44,             35.75,             28.80,             21.03,             14.58,             11.63,             27.18
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1989,             13.28,             18.78,             26.36,             33.99,             39.48,             41.79,             40.46,             35.80,             28.86,             21.09,             14.62,             11.63,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1990,             13.25,             18.71,             26.30,             33.93,             39.44,             41.78,             40.49,             35.85,             28.92,             21.15,             14.66,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1991,             13.22,             18.66,             26.24,             33.88,             39.42,             41.78,             40.51,             35.89,             28.98,             21.21,             14.71,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1992,             13.19,             18.72,             26.44,             34.05,             39.52,             41.79,             40.43,             35.74,             28.79,             21.02,             14.58,             11.63,             27.18
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1993,             13.29,             18.78,             26.37,             33.99,             39.49,             41.79,             40.46,             35.79,             28.85,             21.08,             14.62,             11.63,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1994,             13.26,             18.72,             26.31,             33.94,             39.45,             41.78,             40.49,             35.84,             28.91,             21.14,             14.66,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1995,             13.23,             18.66,             26.24,             33.88,             39.42,             41.78,             40.50,             35.89,             28.97,             21.20,             14.70,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1996,             13.20,             18.73,             26.45,             34.06,             39.52,             41.79,             40.43,             35.73,             28.78,             21.01,             14.57,             11.63,             27.18
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1997,             13.29,             18.79,             26.38,             34.00,             39.49,             41.79,             40.46,             35.78,             28.84,             21.07,             14.62,             11.63,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1998,             13.26,             18.73,             26.32,             33.95,             39.46,             41.78,             40.48,             35.83,             28.90,             21.13,             14.65,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,1999,             13.23,             18.68,             26.26,             33.89,             39.43,             41.78,             40.50,             35.88,             28.96,             21.19,             14.69,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2000,             13.20,             18.74,             26.46,             34.06,             39.53,             41.79,             40.43,             35.73,             28.77,             21.01,             14.57,             11.63,             27.18
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2001,             13.30,             18.79,             26.39,             34.01,             39.49,             41.79,             40.46,             35.77,             28.83,             21.06,             14.61,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2002,             13.26,             18.74,             26.33,             33.96,             39.46,             41.78,             40.48,             35.82,             28.89,             21.12,             14.65,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2003,             13.23,             18.68,             26.26,             33.90,             39.44,             41.78,             40.50,             35.87,             28.96,             21.18,             14.69,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2004,             13.21,             18.75,             26.46,             34.07,             39.53,             41.79,             40.42,             35.72,             28.76,             21.00,             14.56,             11.63,             27.18
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2005,             13.30,             18.81,             26.40,             34.02,             39.50,             41.79,             40.45,             35.77,             28.82,             21.05,             14.61,             11.63,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2006,             13.27,             18.75,             26.34,             33.96,             39.47,             41.78,             40.47,             35.81,             28.88,             21.12,             14.64,             11.64,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2007,             13.24,             18.69,             26.27,             33.91,             39.44,             41.78,             40.50,             35.86,             28.94,             21.18,             14.68,             11.65,             27.22
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2008,             13.08,             18.66,             26.17,             33.85,             39.45,             41.65,             40.07,             35.83,             28.96,             20.98,             14.58,             11.55,             27.09
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2009,             13.20,             18.65,             26.23,             33.87,             39.37,             41.65,             40.36,             35.76,             28.88,             21.07,             14.65,             11.56,             27.14
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2010,             13.14,             18.54,             26.17,             33.79,             39.41,             41.64,             40.34,             35.83,             28.82,             21.21,             14.72,             11.56,             27.14
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2011,             13.13,             18.53,             26.05,             33.68,             39.39,             41.61,             40.36,             35.84,             29.02,             21.21,             14.79,             11.57,             27.14
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2012,             13.09,             18.56,             26.37,             33.98,             39.41,             41.70,             40.36,             35.72,             28.77,             21.01,             14.64,             11.57,             27.11
43.01391,-107.26149,ALLSKY_TOA_SW_DWN,2013,             13.18,             18.73,             26.33,             33.86,             39.27,             41.66,             40.23,             35.60,             28.63,             20.99,             14.51,             11.50,             27.08
